county,year,confirmed_victims,poverty_rate
Franklin,2019,28,14.4
Freestone,2019,56,15.5
Frio,2019,88,27.7
Gaines,2019,40,13.2
Galveston,2019,708,11.3
Garza,2019,32,24.2
Gillespie,2019,40,8.5
Goliad,2019,11,13.4
Gonzales,2019,48,16.2
Gray,2019,82,14.5
Grayson,2019,570,11.6
Gregg,2019,496,16.5
Grimes,2019,57,15.9
Guadalupe,2019,366,7.4
Hale,2019,71,17.9
Hall,2019,4,25.4
Hamilton,2019,44,14.3
Hansford,2019,5,11.7
Hardeman,2019,6,19.2
Hardin,2019,159,12.1
Harrison,2019,194,17.8
Hartley,2019,7,8.6
Haskell,2019,23,20.7
Hays,2019,461,11.2
Hemphill,2019,8,9.1
Henderson,2019,340,17.5
Hill,2019,116,13.1
Hockley,2019,106,15.5
Hood,2019,230,9.2
Hopkins,2019,97,14.7
Houston,2019,79,20.9
Howard,2019,171,17
Hudspeth,2019,3,28
Hunt,2019,347,14.8
Hutchinson,2019,99,11.4
Irion,2019,4,7.4
Jack,2019,43,15.6
Jackson,2019,28,13.8
Jasper,2019,85,19.5
"Jeff Davis",2019,7,12.7
Jefferson,2019,685,16.9
"Jim Hogg",2019,16,22.8
"Jim Wells",2019,178,21
Johnson,2019,596,11
Jones,2019,95,20.4
Karnes,2019,60,21
Kaufman,2019,392,9.8
Kendall,2019,51,7.4
Kent,2019,1,11.5
Kerr,2019,173,12.5
Kimble,2019,6,17
Kinney,2019,13,18.9
Kleberg,2019,75,23.3
Knox,2019,13,19.1
Lamar,2019,268,18.4
Lamb,2019,36,18.5
Lampasas,2019,110,12.4
"La Salle",2019,19,26.6
Lavaca,2019,29,11
Lee,2019,37,10.7
Leon,2019,19,14.4
Liberty,2019,195,14.4
Limestone,2019,44,19.2
Lipscomb,2019,2,12.4
"Live Oak",2019,35,16.5
Llano,2019,70,10.8
Loving,2019,1,7.1
Lynn,2019,17,16
McCulloch,2019,30,17.6
Madison,2019,14,17.8
Marion,2019,57,21.4
Martin,2019,18,12.1
Mason,2019,3,11.7
Matagorda,2019,127,17.5
Maverick,2019,87,26.9
Medina,2019,190,12.2
Menard,2019,5,20.7
Midland,2019,237,9.9
Milam,2019,95,16.3
Mills,2019,15,13.2
Mitchell,2019,33,19.5
Montague,2019,138,12.9
Montgomery,2019,861,8.9
Moore,2019,88,11.9
Morris,2019,55,18.1
Motley,2019,4,17.6
Nacogdoches,2019,173,20.9
Navarro,2019,119,13.4
Newton,2019,17,22.8
Nolan,2019,102,17.5
Ochiltree,2019,24,11.4
Oldham,2019,4,13.1
Orange,2019,296,12.5
"Palo Pinto",2019,180,17.2
Panola,2019,67,14.3
Parker,2019,445,8.2
Parmer,2019,21,11.8
Pecos,2019,35,18.7
Polk,2019,135,16.7
Potter,2019,607,20.3
Presidio,2019,12,19.2
Rains,2019,30,13.4
Randall,2019,269,9
Reagan,2019,10,8.9
Real,2019,13,17.7
"Red River",2019,42,19.6
Reeves,2019,19,22.1
Refugio,2019,21,18
