Year,County,Victims
2021,Ector,375
2021,Gaines,38
2021,Howard,122
2021,Kimble,16
2021,Martin,17
2021,Mason,8
2021,McCulloch,27
2021,Menard,3
2021,Midland,304
2021,Pecos,43
2021,Reagan,5
2021,Reeves,25
2021,Schleicher,13
2021,Sterling,4
2021,Sutton,12
2021,Tom Green,392
2021,Upton,11
2021,Ward,60
2021,Winkler,17
2021,Brewster,18
2021,Culberson,10
2021,El Paso,"1,681"
2021,Hudspeth,16
2021,Presidio,14
2021,Aransas,79
2021,Bee,134
2021,Brooks,55
2021,Cameron,"1,195"
2021,Duval,53
2021,Hidalgo,"1,881"
2021,Jim Hogg,18
2021,Jim Wells,189
2021,Kleberg,115
2021,Live Oak,27
2021,Nueces,"1,000"
2021,Refugio,18
2021,San Patricio,227
2021,Starr,139
2021,Webb,534
2021,Willacy,125
2021,Zapata,45
2021,Out of State,9
2020,Bailey,24
2020,Briscoe,2
2020,Carson,22
2020,Castro,16
2020,Childress,26
2020,Cochran,4
2020,Collingsworth,10
2020,Crosby,15
2020,Dallam,35
2020,Deaf Smith,64
2020,Dickens,4
2020,Donley,14
2020,Floyd,11
2020,Garza,13
2020,Gray,71
2020,Hale,114
2020,Hall,7
2020,Hansford,2
2020,Hartley,8
2020,Hemphill,2
2020,Hockley,95
2020,Hutchinson,81
2020,Lamb,49
2020,Lipscomb,4
2020,Lubbock,962
2020,Lynn,5
2020,Moore,53
2020,Ochiltree,29
2020,Oldham,3
2020,Parmer,25
2020,Potter,678
2020,Randall,396
2020,Sherman,11
2020,Swisher,15
2020,Terry,56
2020,Wheeler,10
2020,Yoakum,10
2020,Archer,17
2020,Baylor,20
2020,Brown,293
2020,Callahan,45
2020,Clay,25
2020,Coleman,54
2020,Comanche,30
2020,Cottle,3
2020,Eastland,56
2020,Fisher,23
2020,Foard,3
2020,Hardeman,9
2020,Haskell,16
2020,Jack,36
2020,Jones,63
2020,Knox,12
2020,Mitchell,64
2020,Montague,115
2020,Nolan,107
2020,Runnels,34
2020,Scurry,77
2020,Shackelford,3
2020,Stephens,27
2020,Stonewall,8
2020,Taylor,943
2020,Throckmorton,8
2020,Wichita,526
2020,Wilbarger,53
2020,Young,62
2020,Collin,"1,149"
2020,Cooke,210
2020,Dallas,"7,145"
2020,Denton,"1,568"
2020,Ellis,336
2020,Erath,179
2020,Fannin,117
2020,Grayson,464
2020,Hood,211
2020,Hunt,316
2020,Johnson,535
2020,Kaufman,378
2020,Navarro,135
2020,Palo Pinto,201
2020,Parker,464
2020,Rockwall,220
2020,Somervell,29
2020,Tarrant,"6,203"
2020,Wise,217
2020,Anderson,183
2020,Bowie,233
2020,Camp,39
2020,Cass,106
2020,Cherokee,244
2020,Delta,16
2020,Franklin,35
2020,Gregg,484
2020,Harrison,199
2020,Henderson,310
2020,Hopkins,102
2020,Lamar,217
2020,Marion,46
2020,Morris,47
2020,Panola,70
2020,Rains,27
2020,Red River,62
2020,Rusk,177
2020,Smith,634
2020,Titus,90
2020,Upshur,124
2020,Van Zandt,235
2020,Wood,119
2020,Angelina,291
2020,Hardin,145
2020,Houston,63
2020,Jasper,75
2020,Jefferson,729
2020,Nacogdoches,182
2020,Newton,15
2020,Orange,281
2020,Polk,123
2020,Sabine,14
2020,San Augustine,23
2020,San Jacinto,76
2020,Shelby,63
2020,Trinity,55
2020,Tyler,47
2020,Austin,47
2020,Brazoria,634
2020,Chambers,56
2020,Colorado,28
2020,Fort Bend,498
2020,Galveston,639
2020,Harris,"6,882"
2020,Liberty,187
2020,Matagorda,142
2020,Montgomery,826
2020,Walker,58
2020,Waller,55
2020,Wharton,116
2020,Bastrop,281
2020,Bell,"1,738"
2020,Blanco,18
2020,Bosque,74
2020,Brazos,480
2020,Burleson,53
2020,Burnet,159
2020,Caldwell,164
2020,Coryell,422
2020,Falls,98
2020,Fayette,47
2020,Freestone,43
2020,Grimes,42
2020,Hamilton,41
2020,Hays,460
2020,Hill,150
2020,Lampasas,96
2020,Lee,38
2020,Leon,20
2020,Limestone,78
2020,Llano,105
2020,Madison,16
2020,McLennan,"1,197"
2020,Milam,73
2020,Mills,13
2020,Robertson,52
2020,San Saba,25
2020,Travis,"2,391"
2020,Washington,61
2020,Williamson,690
2020,Atascosa,240
2020,Bandera,48
2020,Bexar,"5,499"
2020,Calhoun,55
2020,Comal,357
2020,DeWitt,31
2020,Dimmit,41
2020,Edwards,1
2020,Frio,82
2020,Gillespie,53
2020,Goliad,19
2020,Gonzales,46
2020,Guadalupe,303
2020,Jackson,28
2020,Karnes,48
2020,Kendall,53
