Year,Name,Poverty Percent
2018,Knox,20.4
2018,Lamar,14.4
2018,Lamb,20.0
2018,Lampasas,12.9
2018,La Salle,29.6
2018,Lavaca,13.5
2018,Lee,12.3
2018,Leon,15.6
2018,Liberty,15.1
2018,Limestone,22.2
2018,Lipscomb,12.0
2018,Live Oak,18.7
2018,Llano,12.3
2018,Loving,3.3
2018,Lubbock,17.6
2018,Lynn,18.3
2018,McCulloch,18.5
2018,McLennan,18.9
2018,McMullen,11.1
2018,Madison,17.9
2018,Marion,21.9
2018,Martin,13.6
2018,Mason,12.7
2018,Matagorda,18.4
2018,Maverick,25.9
2018,Medina,12.3
2018,Menard,21.6
2018,Midland,10.1
2018,Milam,15.6
2018,Mills,14.6
2018,Mitchell,21.4
2018,Montague,13.8
2018,Montgomery,9.3
2018,Moore,12.2
2018,Morris,20.2
2018,Motley,17.8
2018,Nacogdoches,21.6
2018,Navarro,20.0
2018,Newton,22.3
2018,Nolan,18.2
2018,Nueces,16.2
2018,Ochiltree,10.5
2018,Oldham,13.0
2018,Orange,13.4
2018,Palo Pinto,15.9
2018,Panola,15.7
2018,Parker,8.3
2018,Parmer,13.5
2018,Pecos,19.5
2018,Polk,15.0
2018,Potter,19.7
2018,Presidio,22.4
2018,Rains,14.5
2018,Randall,8.5
2018,Reagan,10.0
2018,Real,18.1
2018,Red River,18.2
2018,Reeves,21.5
2018,Refugio,16.3
2018,Roberts,7.8
2018,Robertson,15.8
2018,Rockwall,5.1
2018,Runnels,16.9
2018,Rusk,16.4
2018,Sabine,17.6
2018,San Augustine,22.2
2018,San Jacinto,17.5
2018,San Patricio,17.3
2018,San Saba,16.8
2018,Schleicher,16.5
2018,Scurry,15.8
2018,Shackelford,13.4
2018,Shelby,20.6
2018,Sherman,12.1
2018,Smith,15.0
2018,Somervell,9.7
2018,Starr,33.2
2018,Stephens,19.4
2018,Sterling,12.6
2018,Stonewall,14.6
2018,Sutton,14.2
2018,Swisher,19.2
2018,Tarrant,12.1
2018,Taylor,16.0
2018,Terrell,18.9
2018,Terry,22.4
2018,Throckmorton,14.3
2018,Titus,18.6
2018,Tom Green,15.5
2018,Travis,12.0
2018,Trinity,17.7
2018,Tyler,18.2
2018,Upshur,15.9
2018,Upton,14.2
2018,Uvalde,22.9
2018,Val Verde,18.9
2018,Van Zandt,15.6
2018,Victoria,15.4
2018,Walker,26.1
2018,Waller,15.9
2018,Ward,13.9
2018,Washington,13.8
2018,Webb,25.7
2018,Wharton,16.8
2018,Wheeler,14.0
2018,Wichita,17.8
2018,Wilbarger,15.3
2018,Willacy,35.0
2018,Williamson,6.4
2018,Wilson,10.9
2018,Winkler,14.1
2018,Wise,9.9
2018,Wood,15.3
2018,Yoakum,12.1
2018,Young,13.9
2018,Zapata,32.1
2018,Zavala,32.0
2019,Anderson,19.8
2019,Andrews,10.2
2019,Angelina,15.6
2019,Aransas,18.7
2019,Archer,10.3
2019,Armstrong,10.6
2019,Atascosa,14.7
2019,Austin,11.1
2019,Bailey,15.9
2019,Bandera,12.9
2019,Bastrop,14.0
2019,Baylor,15.9
2019,Bee,24.0
2019,Bell,13.8
2019,Bexar,15.2
2019,Blanco,8.6
2019,Borden,10.6
2019,Bosque,13.7
2019,Bowie,16.8
2019,Brazoria,8.6
2019,Brazos,20.0
2019,Brewster,13.1
2019,Briscoe,15.0
2019,Brooks,29.6
2019,Brown,13.7
2019,Burleson,13.8
2019,Burnet,10.5
2019,Caldwell,14.4
2019,Calhoun,14.7
2019,Callahan,12.1
2019,Cameron,25.5
2019,Camp,16.6
2019,Carson,8.5
2019,Cass,17.3
2019,Castro,15.3
2019,Chambers,8.6
2019,Cherokee,16.5
2019,Childress,21.9
2019,Clay,11.5
2019,Cochran,19.5
2019,Coke,13.1
2019,Coleman,17.7
2019,Collin,6.1
2019,Collingsworth,19.8
2019,Colorado,13.6
2019,Comal,6.7
2019,Comanche,13.5
2019,Concho,15.1
2019,Cooke,12.7
2019,Coryell,11.8
2019,Cottle,18.9
2019,Crane,9.6
2019,Crockett,13.8
2019,Crosby,22.1
2019,Culberson,19.7
2019,Dallam,11.4
2019,Dallas,14.0
2019,Dawson,20.6
2019,Deaf Smith,17.0
2019,Delta,16.0
2019,Denton,6.5
2019,DeWitt,17.1
2019,Dickens,19.4
2019,Dimmit,25.3
2019,Donley,16.4
2019,Duval,23.9
2019,Eastland,16.7
2019,Ector,12.1
2019,Edwards,20.7
2019,Ellis,8.7
2019,El Paso,18.8
2019,Erath,15.2
2019,Falls,21.6
2019,Fannin,13.2
2019,Fayette,10.9
2019,Fisher,13.3
2019,Floyd,17.3
2019,Foard,17.0
2019,Fort Bend,6.6
2019,Franklin,14.4
2019,Freestone,15.5
2019,Frio,27.7
2019,Gaines,13.2
2019,Galveston,11.3
2019,Garza,24.2
2019,Gillespie,8.5
2019,Glasscock,7.9
2019,Goliad,13.4
2019,Gonzales,16.2
2019,Gray,14.5
2019,Grayson,11.6
2019,Gregg,16.5
2019,Grimes,15.9
2019,Guadalupe,7.4
2019,Hale,17.9
2019,Hall,25.4
2019,Hamilton,14.3
2019,Hansford,11.7
2019,Hardeman,19.2
2019,Hardin,12.1
2019,Harris,15.0
2019,Harrison,17.8
2019,Hartley,8.6
2019,Haskell,20.7
2019,Hays,11.2
2019,Hemphill,9.1
2019,Henderson,17.5
2019,Hidalgo,26.9
2019,Hill,13.1
2019,Hockley,15.5
2019,Hood,9.2
2019,Hopkins,14.7
2019,Houston,20.9
2019,Howard,17.0
2019,Hudspeth,28.0
2019,Hunt,14.8
2019,Hutchinson,11.4
2019,Irion,7.4
2019,Jack,15.6
2019,Jackson,13.8
2019,Jasper,19.5
2019,Jeff Davis,12.7
2019,Jefferson,16.9
2019,Jim Hogg,22.8
2019,Jim Wells,21.0
2019,Johnson,11.0
2019,Jones,20.4
2019,Karnes,21.0
2019,Kaufman,9.8
2019,Kendall,7.4
2019,Kenedy,14.2
2019,Kent,11.5
2019,Kerr,12.5
2019,Kimble,17.0
2019,King,11.0
2019,Kinney,18.9
2019,Kleberg,23.3
2019,Knox,19.1
2019,Lamar,18.4
2019,Lamb,18.5
2019,Lampasas,12.4
2019,La Salle,26.6
2019,Lavaca,11.0
2019,Lee,10.7
2019,Leon,14.4
2019,Liberty,14.4
2019,Limestone,19.2
2019,Lipscomb,12.4
2019,Live Oak,16.5
2019,Llano,10.8
2019,Loving,7.1
2019,Lubbock,17.9
2019,Lynn,16.0
2019,McCulloch,17.6
2019,McLennan,18.0
2019,McMullen,10.5
2019,Madison,17.8
2019,Marion,21.4
2019,Martin,12.1
2019,Mason,11.7
2019,Matagorda,17.5
2019,Maverick,26.9
2019,Medina,12.2
2019,Menard,20.7
2019,Midland,9.9
2019,Milam,16.3
2019,Mills,13.2
2019,Mitchell,19.5
2019,Montague,12.9
2019,Montgomery,8.9
2019,Moore,11.9
2019,Morris,18.1
2019,Motley,17.6
2019,Nacogdoches,20.9
2019,Navarro,13.4
2019,Newton,22.8
2019,Nolan,17.5
2019,Nueces,16.5
2019,Ochiltree,11.4
2019,Oldham,13.1
2019,Orange,12.5
2019,Palo Pinto,17.2
2019,Panola,14.3
2019,Parker,8.2
2019,Parmer,11.8
2019,Pecos,18.7
2019,Polk,16.7
2019,Potter,20.3
2019,Presidio,19.2
2019,Rains,13.4
2019,Randall,9.0
2019,Reagan,8.9
2019,Real,17.7
2019,Red River,19.6
2019,Reeves,22.1
2019,Refugio,18.0
2019,Roberts,7.4
2019,Robertson,20.7
2019,Rockwall,4.8
2019,Runnels,17.2
2019,Rusk,15.4
2019,Sabine,17.6
2019,San Augustine,22.5
2019,San Jacinto,16.8
2019,San Patricio,14.4
2019,San Saba,20.7
2019,Schleicher,15.0
2019,Scurry,14.7
2019,Shackelford,12.7
2019,Shelby,21.4
2019,Sherman,11.1
2019,Smith,12.9
2019,Somervell,9.4
2019,Starr,32.5
2019,Stephens,17.0
2019,Sterling,10.7
2019,Stonewall,15.1
2019,Sutton,13.1
2019,Swisher,20.6
2019,Tarrant,10.2
2019,Taylor,14.0
2019,Terrell,17.5
2019,Terry,21.6
2019,Throckmorton,13.9
2019,Titus,16.3
2019,Tom Green,12.9
2019,Travis,10.8
2019,Trinity,17.9
2019,Tyler,17.2
2019,Upshur,14.9
2019,Upton,13.8
2019,Uvalde,19.8
2019,Val Verde,20.8
2019,Van Zandt,13.6
2019,Victoria,14.3
2019,Walker,21.4
2019,Waller,13.2
2019,Ward,12.4
2019,Washington,10.6
2019,Webb,20.9
2019,Wharton,16.4
2019,Wheeler,11.6
2019,Wichita,13.9
2019,Wilbarger,14.9
2019,Willacy,30.5
2019,Williamson,5.4
2019,Wilson,8.3
2019,Winkler,12.5
2019,Wise,8.3
2019,Wood,14.3
2019,Yoakum,10.6
2019,Young,13.6
2019,Zapata,30.1
2019,Zavala,29.6
2020,Anderson,20.9
2020,Andrews,9.2
2020,Angelina,17.0
2020,Aransas,17.1
2020,Archer,6.9
2020,Armstrong,9.3
2020,Atascosa,14.9
2020,Austin,11.4
2020,Bailey,14.4
2020,Bandera,11.0
2020,Bastrop,10.8
2020,Baylor,15.3
2020,Bee,23.1
2020,Bell,14.7
2020,Bexar,15.0
2020,Blanco,9.8
2020,Borden,7.5
2020,Bosque,12.5
2020,Bowie,17.4
2020,Brazoria,8.3
2020,Brazos,22.3
2020,Brewster,14.0
2020,Briscoe,13.4
2020,Brooks,28.7
2020,Brown,15.6
2020,Burleson,13.1
2020,Burnet,9.5
2020,Caldwell,12.7
2020,Calhoun,12.4
2020,Callahan,12.2
2020,Cameron,24.4
2020,Camp,16.7
2020,Carson,8.3
2020,Cass,17.7
2020,Castro,15.3
2020,Chambers,9.3
2020,Cherokee,16.7
2020,Childress,21.4
2020,Clay,11.1
2020,Cochran,19.2
2020,Coke,11.4
2020,Coleman,16.0
2020,Collin,6.2
2020,Collingsworth,16.9
2020,Colorado,12.7
2020,Comal,7.5
2020,Comanche,15.9
2020,Concho,13.5
2020,Cooke,11.3
2020,Coryell,12.7
2020,Cottle,17.9
2020,Crane,9.0
2020,Crockett,12.4
2020,Crosby,19.8
2020,Culberson,18.6
2020,Dallam,11.1
2020,Dallas,13.7
2020,Dawson,18.7
2020,Deaf Smith,15.5
2020,Delta,14.3
2020,Denton,6.9
2020,DeWitt,20.5
2020,Dickens,18.9
2020,Dimmit,25.5
2020,Donley,16.3
2020,Duval,20.0
2020,Eastland,17.0
2020,Ector,13.6
2020,Edwards,19.1
2020,Ellis,7.9
2020,El Paso,17.6
2020,Erath,12.6
2020,Falls,20.0
2020,Fannin,15.4
2020,Fayette,9.4
2020,Fisher,13.3
2020,Floyd,17.7
2020,Foard,16.8
2020,Fort Bend,7.4
2020,Franklin,12.9
2020,Freestone,13.3
2020,Frio,22.3
2020,Gaines,11.1
2020,Galveston,9.9
2020,Garza,20.6
2020,Gillespie,9.2
2020,Glasscock,7.3
2020,Goliad,13.2
2020,Gonzales,14.3
2020,Gray,14.2
2020,Grayson,13.6
2020,Gregg,18.1
2020,Grimes,15.3
2020,Guadalupe,8.5
2020,Hale,17.6
2020,Hall,18.6
2020,Hamilton,14.7
2020,Hansford,10.7
2020,Hardeman,15.0
2020,Hardin,10.4
2020,Harris,15.9
2020,Harrison,15.6
2020,Hartley,9.5
2020,Haskell,20.0
2020,Hays,9.6
2020,Hemphill,9.5
2020,Henderson,14.2
2020,Hidalgo,23.9
2020,Hill,14.0
2020,Hockley,12.9
2020,Hood,9.4
2020,Hopkins,12.7
2020,Houston,20.0
2020,Howard,15.7
2020,Hudspeth,24.2
2020,Hunt,12.6
2020,Hutchinson,12.1
2020,Irion,6.9
2020,Jack,13.6
2020,Jackson,12.7
2020,Jasper,17.3
2020,Jeff Davis,22.2
2020,Jefferson,18.3
2020,Jim Hogg,20.1
2020,Jim Wells,20.1
2020,Johnson,9.5
2020,Jones,19.5
2020,Karnes,17.5
2020,Kaufman,9.2
2020,Kendall,6.7
2020,Kenedy,10.8
2020,Kent,11.3
2020,Kerr,11.6
2020,Kimble,15.7
2020,King,12.4
2020,Kinney,17.9
2020,Kleberg,20.8
2020,Knox,16.3
2020,Lamar,19.6
2020,Lamb,17.6
2020,Lampasas,10.0
2020,La Salle,24.0
2020,Lavaca,10.6
2020,Lee,10.6
2020,Leon,13.8
2020,Liberty,14.4
2020,Limestone,16.8
2020,Lipscomb,11.3
2020,Live Oak,17.0
